id,name,created_at,updated_at,intro,page,opt,shows
3509,КОНДЕНСАТОР ЗАЖИГАНИЯ,2014-02-15 00:26:13.151638,2015-01-17 21:15:13.615195,,,,195
3510,КОНТАКТ ПРЕРЫВАТЕЛЯ,2014-02-15 00:26:13.153843,2015-01-17 21:15:13.606292,,,,221
3511,КОНТАКТ СТАРТЕРА,2014-02-15 00:26:13.156127,2015-01-17 21:15:13.589993,,,,229
3512,КОНТАКТ ЭЛЕКТРОПРОВОДКИ ,2014-02-15 00:26:13.158133,2015-01-17 21:15:13.581717,,,,33
3513,КОНТРГАЙКА БОЛТА РЕГУЛИРОВКИ ЗАЗОРА КЛАПАНА,2014-02-15 00:26:13.160069,2015-01-17 21:15:13.573724,,,,0
3514,КОРОБКА ПЕРЕДАЧ,2014-02-15 00:26:13.233351,2015-01-17 21:15:13.564785,,,,104195
3515,КОРОМЫСЛО КЛАПАНА,2014-02-15 00:26:13.2587,2015-01-17 21:15:13.546567,,,,281
3516,КОРОМЫСЛО РЕССОРЫ,2014-02-15 00:26:13.261478,2015-01-17 21:15:13.528845,,,,0
3517,КОРПУС ВОДЯНОГО НАСОСА,2014-02-15 00:26:13.263738,2015-01-17 21:15:12.365999,,,,79
3518,КОРПУС ЗАМКА ЗАЖИГАНИЯ,2014-02-15 00:26:13.266021,2015-01-17 21:15:12.32301,,,,68
3519,КОРПУС ЗЕРКАЛА НАРУЖНОГО,2014-02-15 00:26:13.268151,2015-01-17 21:15:12.263055,,,,62
3520,КОРПУС МАСЛЯНОГО ФИЛЬТРА,2014-02-15 00:26:13.270266,2015-01-17 21:15:12.232035,,,,1039
3521,КРЕПЁЖ ГЛУШИТЕЛЯ,2014-02-15 00:26:13.272253,2015-01-17 21:15:12.190221,,,,61
3522,КРЕПЛЕНИЕ ГЕНЕРАТОРА,2014-02-15 00:26:13.274353,2015-01-17 21:15:12.13222,,,,796
3523,КРЕПЛЕНИЕ ГЛУШИТЕЛЯ,2014-02-15 00:26:13.276385,2015-01-17 21:15:12.123647,,,,778
3524,КРЕПЛЕНИЕ ПРОВОДА,2014-02-15 00:26:13.278371,2015-01-17 21:15:12.114807,,,,1248
3525,КРЕПЛЕНИЕ РАДИАТОРА,2014-02-15 00:26:13.280696,2015-01-17 21:15:12.098892,,,,2134
3526,КРЕПЛЕНИЕ РЕССОРЫ,2014-02-15 00:26:13.282995,2015-01-17 21:15:12.080005,,,,216
3527,КРЕСТОВИНА,2014-02-15 00:26:13.285161,2015-01-17 21:15:03.057013,"<p>&laquo;Крестовина&raquo; (карданная передача) &ndash; простая конструкция, применяющаяся в разных областях человеческой деятельности, а в нашем конкретном случае - в автомобилях.&nbsp;<br />
Необходима карданная передача, чтобы передавать крутящий момент между не соосными валами, которые пересекаются в центре передачи, и могут двигаться относительно друг друга под углом.</p>
","<p>&laquo;Крестовина&raquo; (карданная передача) &ndash; простая конструкция, применяющаяся в разных областях человеческой деятельности, а в нашем конкретном случае - в автомобилях.&nbsp;<br />
Необходима карданная передача, чтобы передавать крутящий момент между не соосными валами, которые пересекаются в центре передачи, и могут двигаться относительно друг друга под углом.<br />
Применяется в автомобиле: в рулевой колонке (соединяет рулевой вал и рулевой механизм, рулевой редуктор и рулевую рейку), в трансмиссии заднеприводных или полноприводных машин (передача крутящего момента коробки передач к ведущим элементам конструкции автомобиля).<br />
Материал изготовления: различные прочные марки стали с высокой твёрдостью.<br />
Представляет &laquo;крестовина&raquo; из себя шарнир в виде креста (правильной и неправильной формы), на вилках валов которого надеты игольчатые подшипники, зафиксированные стопорными кольцами (или другим образом), и надетыми пыльниками (уплотняющими сальниками) для предотвращения попадания мусора, грязи и прочего.&nbsp;<br />
Исходя из габаритов подшипников, &laquo;крестовины&raquo; можно разделить: малооборотистые для больших нагрузок и высокооборотистые для небольших нагрузок.<br />
Ресурс работы &laquo;крестовины&raquo; зависит (в основном): качества (состояния) уплотняющего сальника (пыльника); работы самих соединяющих элементов (в каком рабочем состоянии они находятся).<br />
Диагностика неисправности: слышен гул в районе расположения элемента, повышенная вибрация на скоростях; заедание руля, ход руля рывками &ndash; в случае рулевой &laquo;крестовины&raquo;.</p>
",,19573
3528,КРЕСТОВИНА ВАЛА КАРДАННОГО,2014-02-15 00:26:13.287256,2015-01-17 21:15:03.04445,"<p>Данная деталь входит состав карданной передачи и предназначена для передачи вращения от двигателя, по средствам входного вала к ведущей оси, через выходной вал передачи.</p>
","<p>Данная деталь входит состав карданной передачи и предназначена для передачи вращения от двигателя, по средствам входного вала к ведущей оси, через выходной вал передачи.</p>

<p>Валы в карданном узле расположены под углом (не соосно), угол может меняться во время движения, поэтому для их соединения используют подвижный элемент. Крестовина позволяет компенсировать изменения наклона и минимального изменения положения в горизонтальной плоскости, обеспечивая непрерывную передачу вращения. Карданная передача применяется, на автомобилях с задним ведущим мостом или в полноприводных авто и практически во всех грузовиках.&nbsp;<br />
Крестовина работает в режимах высоких нагрузок, передавая вращение от коробки передач к ведущим колесам, поэтому при ее изготовлении используют материалы высокого качества: легированные стали которые подвергаются сложной термообработке. Термообработка нужна для обеспечения высокой твердости поверхности, чтобы противодействовать износу и нагрузкам.</p>

<p>Конструктивно &ndash; это крестовой шарнир, на шипах корпуса расположены обоймы подшипников, которые в свою очередь соединяются с вилками входного и выходного валов. Для обеспечения подвижности используют игольчатые подшипники, они обладают высокий КПД передачи, но это также и слабое место, т.к. не допускается попадание каких либо инородных предметов или жидкостей, для этого осуществляется герметизация и уплотнение этого узла.<br />
Крестовина надежный узел, ресурс - 500000 км пробега. Эффективность теряется при углах свыше 10 градусов.</p>
",,2692
3529,КРЕСТОВИНА ШРУСА,2014-02-15 00:26:13.28928,2015-01-17 21:15:03.023633,"","",,93
3530,КРОНШТЕЙН БАМПЕРА,2014-02-15 00:26:13.291392,2015-01-17 21:15:03.012429,"","",,2195
3531,КРОНШТЕЙН ВЕНТИЛЯТОРА РАДИАТОРА,2014-02-15 00:26:13.293412,2015-01-17 21:15:02.995642,,,,4
3532,КРОНШТЕЙН ГЛУШИТЕЛЯ,2014-02-15 00:26:13.295705,2015-01-17 21:15:02.978382,"","",,140
3533,КРОНШТЕЙН КРЕПЛЕНИЯ РЕССОРЫ,2014-02-15 00:26:13.2978,2015-01-17 21:15:02.965423,,,,41
3534,КРОНШТЕЙН КРЫЛА,2014-02-15 00:26:13.299832,2015-01-17 21:15:02.95346,,,,398
3535,КРОНШТЕЙН НАРУЖНОГО ЗЕРКАЛА,2014-02-15 00:26:13.302059,2015-01-17 21:15:02.940941,,,,14
3536,КРОНШТЕЙН ОПОРЫ ДВИГАТЕЛЯ,2014-02-15 00:26:13.313267,2015-01-17 21:15:02.882542,,,,296
3537,КРОНШТЕЙН ПРОТИВОТУМАННОЙ ФАРЫ,2014-02-15 00:26:13.315597,2015-01-17 21:15:01.949381,,,,181
3538,КРОНШТЕЙН РАДИАТОРА,2014-02-15 00:26:13.317709,2015-01-17 21:15:01.915859,,,,1521
3539,КРОНШТЕЙН РЕССОРЫ,2014-02-15 00:26:13.319742,2015-01-17 21:15:01.883123,,,,344
3540,КРОНШТЕЙН СТАБИЛИЗАТОРА,2014-02-15 00:26:13.321845,2015-01-17 21:15:01.37423,,,,223
3541,КРОНШТЕЙН ТОПЛИВНОГО НАСОСА,2014-02-15 00:26:13.323918,2015-01-17 21:15:01.35721,,,,8
3542,КРОНШТЕЙН ФАРЫ,2014-02-15 00:26:13.326072,2015-01-17 21:15:00.848161,,,,818
3543,КРЫЛО,2014-02-15 00:26:13.328161,2015-01-17 21:15:00.827851,,,,333447
3544,КРЫЛЬЧАТКА ВОДЯНОГО НАСОСА,2014-02-15 00:26:13.330296,2015-01-17 21:15:00.815757,,,,207
3545,КРЫШКА БАГАЖНИКА,2014-02-15 00:26:13.33226,2015-01-17 21:15:00.802837,"","",,20774
3546,КРЫШКА БАЧКА ОМЫВАТЕЛЯ,2014-02-15 00:26:13.334436,2015-01-17 21:15:00.75088,,,,314
3547,КРЫШКА БАЧКА ОХЛАЖДАЮЩЕЙ ЖИДКОСТИ,2014-02-15 00:26:13.336676,2015-01-17 21:14:59.693951,,,,115
3548,КРЫШКА БАЧКА ТОРМОЗНОЙ ЖИДКОСТИ,2014-02-15 00:26:13.338716,2015-01-17 21:14:59.67369,,,,98
3549,КРЫШКА БЕНЗОБАКА,2014-02-15 00:26:13.340819,2015-01-17 21:14:59.661204,,,,4272
3550,КРЫШКА БЛОКА ПРЕДОХРАНИТЕЛЕЙ,2014-02-15 00:26:13.342837,2015-01-17 21:14:59.649059,"","",,342
3551,КРЫШКА ДВИГАТЕЛЯ ЗАДНЯЯ,2014-02-15 00:26:13.34488,2015-01-17 21:14:59.632344,,,,85
3552,КРЫШКА КЛАПАННАЯ,2014-02-15 00:26:13.346891,2015-01-17 21:14:59.619751,,,,13666
3553,КРЫШКА КОРПУСА МАСЛЯННОГО ФИЛЬТРА,2014-02-15 00:26:13.348973,2015-01-17 21:14:59.607215,,,,0
3554,КРЫШКА КПП,2014-02-15 00:26:13.350913,2015-01-17 21:14:59.565524,,,,624
3555,КРЫШКА РАДИАТОРА КОНДИЦИОНЕРА,2014-02-15 00:26:13.35294,2015-01-17 21:14:59.536217,,,,1
3556,КРЫШКА РАСПРЕДЕЛИТЕЛЯ ЗАЖИГАНИЯ,2014-02-15 00:26:13.35497,2015-01-17 21:14:59.525761,,,,104
3557,КРЫШКА РЕМНЯ ГРМ,2014-02-15 00:26:13.356963,2015-01-17 21:14:58.543689,,,,214
3558,КРЫШКА СТАРТЕРА,2014-02-15 00:26:13.358934,2015-01-17 21:14:58.523631,,,,318
3559,КРЫШКА СТУПИЦЫ,2014-02-15 00:26:13.360976,2015-01-17 21:14:58.511015,,,,478
3560,КРЫШКА ТОПЛИВНОГО ФИЛЬТРА,2014-02-15 00:26:13.362941,2015-01-17 21:14:58.502015,,,,193
3561,КРЫШКА ФАРЫ,2014-02-15 00:26:13.365034,2015-01-17 21:14:58.482,"","",,2830
3562,КУЛАК ПОВОРОТНЫЙ,2014-02-15 00:26:13.367092,2015-01-17 21:14:58.469349,,,,6893
3563,ЛАМПА БЛИЖНЕГО СВЕТА,2014-02-15 00:26:13.380026,2015-01-17 21:14:58.45644,,,,30349
3564,ЛАМПА НАКАЛИВАНИЯ ВНУТРЕННЕГО ОСВЕЩЕНИЯ,2014-02-15 00:26:13.382166,2015-01-17 21:14:58.435851,,,,10
3565,ЛАМПА НАКАЛИВАНИЯ ГАБАРИТНЫХ ОГНЕЙ,2014-02-15 00:26:13.384546,2015-01-17 21:14:58.42705,,,,22
3566,ЛАМПА НАКАЛИВАНИЯ ДОПОЛНИТЕЛЬНОГО ФОНАРЯ СИГНАЛА ТОРМОЖЕНИЯ,2014-02-15 00:26:13.386685,2015-01-17 21:14:58.409348,,,,5
3567,ЛАМПА НАКАЛИВАНИЯ ЗАДНЕГО ГАБАРИТА,2014-02-15 00:26:13.388806,2015-01-17 21:14:57.318628,,,,6
3568,ЛАМПА НАКАЛИВАНИЯ ЗАДНЕЙ ПРОТИВОТУМАННАЯ ФАРА,2014-02-15 00:26:13.390816,2015-01-17 21:14:57.301785,,,,0
3569,ЛАМПА НАКАЛИВАНИЯ ОСВЕЩЕНИЯ БАГАЖНИКА,2014-02-15 00:26:13.392908,2015-01-17 21:14:57.285175,"","",,2
3570,ЛАМПА НАКАЛИВАНИЯ ОСВЕЩЕНИЯ ПРИБОРНОЙ ПАНЕЛИ,2014-02-15 00:26:13.394972,2015-01-17 21:14:57.268413,,,,2
3571,ЛАМПА НАКАЛИВАНИЯ ОСНОВНОЙ ФАРЫ,2014-02-15 00:26:13.397184,2015-01-17 21:14:57.251877,,,,6
3572,ЛАМПА НАКАЛИВАНИЯ ПРОТИВОТУМАННОЙ ФАРЫ,2014-02-15 00:26:13.399255,2015-01-17 21:14:57.235231,,,,31
3573,ЛАМПА НАКАЛИВАНИЯ СИГНАЛА ТОРМОЖЕНИЯ,2014-02-15 00:26:13.401593,2015-01-17 21:14:57.218543,,,,5
3574,ЛАМПА НАКАЛИВАНИЯ СТОП-СИГНАЛА,2014-02-15 00:26:13.403872,2014-02-15 00:26:13.403872,,,,
3575,ЛАМПА НАКАЛИВАНИЯ СТОЯНОЧНОГО СВЕТА,2014-02-15 00:26:13.406216,2015-01-17 21:14:57.201769,,,,9
3576,ЛАМПА НАКАЛИВАНИЯ УКАЗАТЕЛЯ ПОВОРОТОВ,2014-02-15 00:26:13.408338,2015-01-17 21:14:57.181462,,,,5
3577,ЛАМПА НАКАЛИВАНИЯ ФАРЫ ДАЛЬНЕГО СВЕТА,2014-02-15 00:26:13.41038,2015-01-17 21:14:57.163123,,,,1
3578,ЛАМПА НАКАЛИВАНИЯ ФОНАРЯ В ДВЕРИ,2014-02-15 00:26:13.412791,2015-01-17 21:14:46.492599,,,,0
3579,ЛАМПА НАКАЛИВАНИЯ ФОНАРЯ ЗАДНЕГО ХОДА,2014-02-15 00:26:13.414921,2015-01-17 21:14:46.47607,,,,3
3580,ЛАМПА НАКАЛИВАНИЯ ФОНАРЯ ОСВЕЩЕНИЯ НОМЕРНОГО ЗНАКА,2014-02-15 00:26:13.417015,2015-01-17 21:14:46.467441,,,,2
3581,ЛАМПА ОСВЕЩЕНИЯ ПОДКАПОТНОГО ПРОСТРАНСТВА,2014-02-15 00:26:13.419117,2015-01-17 21:14:46.450922,,,,3
3582,ЛАМПА ОСВЕЩЕНИЯ ЯЩИКА ДЛЯ ПЕРЧАТОК,2014-02-15 00:26:13.421237,2015-01-17 21:14:46.432306,,,,0
3583,ЛАМПА СИГНАЛЬНАЯ,2014-02-15 00:26:13.42326,2015-01-17 21:14:46.399293,,,,2413
3584,ЛИСТ РЕССОРЫ,2014-02-15 00:26:13.425366,2015-01-17 21:14:46.348692,,,,1528
3585,ЛИЧИНКА ЗАМКА,2014-02-15 00:26:13.427397,2015-01-17 21:14:46.290878,,,,12502
3586,ЛИЧИНКА ЗАМКА ЗАЖИГАНИЯ,2014-02-15 00:26:13.429676,2015-01-17 21:14:45.781244,,,,1439
3587,ЛОНЖЕРОН,2014-02-15 00:26:13.431823,2015-01-17 21:14:45.420611,,,,8727
3588,ЛЮЧОК БЕНЗОБАКА,2014-02-15 00:26:13.441643,2015-01-17 21:14:44.333157,,,,3964
3589,МАСЛО АКПП,2014-02-15 00:26:13.444468,2015-01-17 21:14:44.317091,,,,38077
3590,МАСЛО ГИДРОУСИЛИТЕЛЯ,2014-02-15 00:26:13.446539,2015-01-17 21:14:44.308776,,,,3210
3591,МАСЛО КОМПРЕССОРА КОНДИЦИОНЕРА,2014-02-15 00:26:13.448644,2015-01-17 21:14:44.300887,,,,75
3592,МАСЛО КПП,2014-02-15 00:26:13.450684,2015-01-17 21:14:44.292449,,,,10884
3593,МАСЛО МОТОРНОЕ,2014-02-15 00:26:13.452715,2015-01-17 21:14:44.283241,"<p>Моторные масла предназначены для смазки КПП, раздаточных коробок, главных передач ведущих мостов, рулевых механизмов и редукторов. Моторные масла изготавливаются из остаточных нефтяных масел с добавлением присадок и дистиллятных масел.</p>
","<p>Моторные масла предназначены для смазки КПП, раздаточных коробок, главных передач ведущих мостов, рулевых механизмов и редукторов. Моторные масла изготавливаются из остаточных нефтяных масел с добавлением присадок и дистиллятных масел.<br />
Моторные масла имеют степень вязкости и определяются на загущенные или незагущенные. Загущенные масла готовятся с содержанием загущающих присадок и обозначаются в стапени вязкости двумя цифрами. К примеру, SАЕ 85W90.<br />
Незагущенные масла не имеют в своём составе загущающих веществ и обозначаются одной цифрой (SАЕ 90).&nbsp;<br />
Загущенные Моторные масла используются по большей части при длительной работе автомобиля в тяжёлых условиях. Хотя и те, и другие почти не отличаются друг от друга, но при низких температурах загущенные обладают лучшими характеристиками. К примеру масла с такими вязкостями как 80W90 и 85W90 будут иметь одинаковые функциональные возможности при высокой температуре в +100 градусов и отличатся в несколько раз своей вязкостью, при температуре в -20 градусов. Помимо этого, принято считать загущенные масла- всесезонными. Это логично, так как они могут отлично проявлять себя при высоких и низких температурах.</p>
",,80475
3594,МАСЛО ОСЕВОГО РЕДУКТОРА,2014-02-15 00:26:13.454777,2015-01-17 21:14:44.267112,,,,11
3595,МАСЛО РАЗДАТОЧНОЙ КОРОБКИ,2014-02-15 00:26:13.45686,2015-01-17 21:14:44.258877,,,,551
3596,МАСЛО ТРАНСМИССИОННОЕ,2014-02-15 00:26:13.458875,2015-01-17 21:14:44.250452,"<p>Трансмиссионные масла &ndash; это группа масел, назначение которых смазывать механизмы раздаточных и коробок передач, редукторов, гипоидных механизмов и других зубчатых или цепных передач.</p>
","<p>Трансмиссионные масла &ndash; это группа масел, назначение которых смазывать механизмы раздаточных и коробок передач, редукторов, гипоидных механизмов и других зубчатых или цепных передач.<br />
Так же, как и моторные масла, существуют минеральные и синтетические трансмиссионные. В зависимости от требуемого критерия, подбирается соответствующие масла, различающиеся вязкостью и количеством присадок. В составе масла часто входят химические соединения-реметаллизанты, которые на изношенных металлических поверхностях оставляют тончайшую пленку, что замедляет процесс износа детали.&nbsp;<br />
Существуют два типа классификации масел: GL-4 и GL-5-зарубежная, ТМ-4, ТМ-5 &ndash; отечественная классификация. В основном применяют трансмиссионные масла зарубежного производителя. Для каждого узла, с учетом удельных нагрузок и температурного режима, масла имеют собственную классификацию. Специальная маркировка обозначает, текучесть, вязкость, диапазон температур работы трансмиссионного масла.&nbsp;<br />
Смешивать масла разных типов не рекомендуется, в некоторых случаях &nbsp;разные пакеты присадок зачастую несовместимы. Запрещено так же соединять минеральное и синтетическое масло.<br />
Заливать масло в агрегаты и механизмы лучше предписанное автопроизводителем. В автоматических трансмиссиях применяется специальное масло иного состава, в силу специфичности устройства. Трансмиссионное масло не требует частой замены, его периодичность составляет 60-100 т.км пробега. А в некоторые автомобили вообще обходятся без замены.</p>
",,16389
3597,МАСЛООТДЕЛИТЕЛЬ,2014-02-15 00:26:13.460894,2015-01-17 21:14:44.233833,,,,2724
3598,МЕМБРАНА ТОРМОЗНОГО ЦИЛИНДРА,2014-02-15 00:26:13.46293,2015-01-17 21:14:42.709355,,,,2
3599,МЕХАНИЗМ РУЛЕВОЙ,2014-02-15 00:26:13.46502,2015-01-17 21:14:42.701199,,,,4873
3600,МОЛДИНГ,2014-02-15 00:26:13.467011,2015-01-17 21:14:42.692378,,,,38250
3601,МОЛДИНГ БАМПЕРА,2014-02-15 00:26:13.469004,2015-01-17 21:14:42.684266,,,,1485
3602,МОЛДИНГ ДВЕРИ,2014-02-15 00:26:13.471046,2015-01-17 21:14:42.675365,,,,6371
3603,МОЛДИНГ КРЫЛА,2014-02-15 00:26:13.473061,2015-01-17 21:14:42.666734,,,,889
3604,МОЛДИНГ ЛОБОВОГО СТЕКЛА,2014-02-15 00:26:13.475165,2015-01-17 21:14:42.632067,,,,1089
3605,МОЛДИНГ СТЕКЛА,2014-02-15 00:26:13.477065,2015-01-17 21:14:42.592922,,,,1884
3606,МОСТ,2014-02-15 00:26:13.47905,2015-01-17 21:14:42.574914,"<p>Мостом называется металлическая балка у автомобиля к которой крепятся колеса. Мосты бывают различными и предназначены для поддержания несущих конструкций автомобиля и установки на них колес. На автомобилях используются разные типы мостов.</p>
","<p>Мостом называется металлическая балка у автомобиля к которой крепятся колеса. Мосты бывают различными и предназначены для поддержания несущих конструкций автомобиля и установки на них колес. На автомобилях используются разные типы мостов.</p>

<p>Мост ведущий - это мост с ведущими колесами, к нему присоединяется крутящий момент двигателя. Таким мостом на автомобилях может быть, передний, средний, задний или все мосты одновременно. Самое большое распространение получил задний ведущий мост, с таким мостом автомобиль ограничен в проходимости и в основном предназначен для использования на грунтовых сухих дорогах и на дорогах с покрытием.&nbsp;</p>

<p>Мост управляемый - это мост с управляемыми ведомыми колесами, к нему не присоединяется крутящий момент двигателя. На большинстве автомобилях управляемым мостом является передний.</p>

<p>Мост комбинированный - это мост с управляемыми и ведущими одновременно колесами. Такой мост используется в качестве переднего в различных типах автомобилях, в том числе используется и для автомобилей которые предназначены для эксплуатации в тяжелых (трудно проходимых) дорожных условиях.</p>

<p>Мост поддерживающий - это мост с ведомыми колесами, такой мост не являются ни управляемыми ни ведущими. Самое большое применение такой мост получил в прицепах и полуприцепах. Также он применяется на грузовых многоосных автомобилях, а на легковых переднеприводных автомобилях он применяется в качестве заднего моста.</p>
",,485907
3607,МОСТ ДИОДНЫЙ,2014-02-15 00:26:13.481071,2015-01-17 21:14:42.557114,,,,11689
3608,МОТОР ВЕНТИЛЯТОРА,2014-02-15 00:26:13.483113,2015-01-17 21:14:41.08327,,,,1245
3609,МОТОР ОТОПИТЕЛЯ,2014-02-15 00:26:13.485093,2015-01-17 21:14:41.066984,"","",,4769
3610,МОТОР СТЕКЛООЧИСТИТЕЛЯ,2014-02-15 00:26:13.48711,2015-01-17 21:14:41.058121,,,,2927
3611,МУФТА ВЕНТИЛЯТОРА,2014-02-15 00:26:13.489076,2015-01-17 21:14:41.041927,,,,817
3612,МУФТА КАРДАНА,2014-02-15 00:26:13.491011,2015-01-17 21:14:41.033081,,,,212
3613,МУФТА РУЛЕВОГО ВАЛА,2014-02-15 00:26:13.493043,2015-01-17 21:14:41.015909,,,,80
3614,НАБОР ДЛЯ ВКЛЕЙКИ СТЕКОЛ,2014-02-15 00:26:13.495047,2015-01-17 21:14:40.99107,,,,200
3615,НАКЛАДКА ПЕДАЛИ,2014-02-15 00:26:13.497085,2015-01-17 21:14:40.974173,,,,3345
3616,НАКЛАДКА РЕШЕТКИ РАДИАТОРА,2014-02-15 00:26:13.499315,2015-01-17 21:14:40.958199,,,,1293
3617,НАКЛАДКА РУЧКИ ДВЕРИ,2014-02-15 00:26:13.501324,2015-01-17 21:14:40.943394,"","",,1520
3618,НАКЛАДКА САЛОНА,2014-02-15 00:26:13.503323,2015-01-17 21:14:40.015835,,,,1504
3619,НАКЛАДКА ФАРЫ,2014-02-15 00:26:13.505303,2015-01-17 21:14:39.999686,,,,2847
3620,"НАКЛАДКИ ТОРМОЗНЫЕ, КОМПЛЕКТ",2014-02-15 00:26:13.507305,2014-02-15 00:26:13.507305,,,,
3621,НАКЛЕЙКА ДЕКОРАТИВНАЯ,2014-02-15 00:26:13.509297,2015-01-17 21:14:39.991363,,,,3039
3622,НАКОНЕЧНИК РУЛЕВОЙ ТЯГИ,2014-02-15 00:26:13.511396,2015-01-17 21:14:39.982423,"<p>Наконечник рулевой тяги - это элемент рулевого управления, обеспечивающий необходимую траекторию движения колес при поворотах. Рулевые наконечники выступают связующим звеном между поворотным кулаком и рулевой тягой.</p>
","<p>Наконечник рулевой тяги - это элемент рулевого управления, обеспечивающий необходимую траекторию движения колес при поворотах. Рулевые наконечники выступают связующим звеном между поворотным кулаком и рулевой тягой.&nbsp;</p>

<p>В зависимости от модели автомобиля, рулевые наконечники могут отличаться по форме и длине, но они всегда представляют собой некий штырь с резьбой с одной стороны ( соединяется с рулевой тягой) и шарнир с другой ( соединяется с поворотным кулаком).</p>

<p>Наконечники делят на левые и правые, в зависимости от стороны тяги, на концах которой они расположены.&nbsp;</p>

<p>Износ наконечников рулевой тяги можно опредилить самостоятельно, при наличии следующих признаков:</p>

<p>-&nbsp;при повороте руля во время движения слышны посторонние звуки&nbsp;</p>

<p>- увеличился свободный ход руля или наоборот, руль прокручивается с трудом.</p>
",,3156
3623,НАКОНЕЧНИК СВЕЧНОГО ПРОВОДА,2014-02-15 00:26:13.513585,2015-01-17 21:14:39.965702,,,,2
3624,НАКОНЕЧНИК СВЕЧНОЙ,2014-02-15 00:26:13.515649,2015-01-17 21:14:39.94919,,,,137
3625,НАПРАВЛЯЮЩАЯ СТЕКЛА,2014-02-15 00:26:13.517785,2015-01-17 21:14:39.932583,,,,561
3626,НАПРАВЛЯЮЩАЯ СУППОРТА,2014-02-15 00:26:13.519841,2015-01-17 21:14:39.915802,"","",,2962
3627,НАПРАВЛЯЮЩАЯ ЦЕПИ,2014-02-15 00:26:13.521959,2015-01-17 21:14:39.899156,,,,89
3628,НАСАДКА НА ГЛУШИТЕЛЬ,2014-02-15 00:26:13.523967,2015-01-17 21:14:39.880047,,,,5979
3629,НАСОС ВОДЯНОЙ,2014-02-15 00:26:13.526068,2015-01-17 21:14:31.09774,"","",,15980
3630,НАСОС ВОДЯНОЙ ДОПОЛНИТЕЛЬНЫЙ,2014-02-15 00:26:13.528068,2015-01-17 21:14:31.08091,,,,205
3631,НАСОС ГИДРОУСИЛИТЕЛЯ,2014-02-15 00:26:13.530315,2015-01-17 21:14:31.064232,,,,5609
3632,НАСОС МАСЛЯНЫЙ,2014-02-15 00:26:13.532283,2015-01-17 21:14:31.047674,,,,13697
3633,НАСОС ОМЫВАТЕЛЯ,2014-02-15 00:26:13.534319,2015-01-17 21:14:31.030868,"","",,3301
3634,НАСОС ПНЕВМАТИЧЕСКИЙ,2014-02-15 00:26:13.536532,2015-01-17 21:14:31.014307,,,,792
3635,НАСОС-ФОРСУНКА,2014-02-15 00:26:13.53857,2014-02-15 00:26:13.53857,,,,
3636,НАТЯЖИТЕЛЬ РЕМНЯ,2014-02-15 00:26:13.54057,2015-01-17 21:14:30.997665,,,,6548
3637,НАТЯЖИТЕЛЬ РЕМНЯ ГРМ,2014-02-15 00:26:13.542557,2015-01-17 21:14:30.981022,,,,955
3638,НАТЯЖИТЕЛЬ РЕМНЯ ПОЛИКЛИНОВОГО,2014-02-15 00:26:13.544658,2015-01-17 21:14:30.96462,,,,95
3639,НАТЯЖИТЕЛЬ ЦЕПИ,2014-02-15 00:26:13.546737,2015-01-17 21:14:30.91505,,,,4985
3640,НАТЯЖИТЕЛЬ ЦЕПИ ГРМ,2014-02-15 00:26:13.548854,2015-01-17 21:14:29.498575,"","",,563
3641,НАТЯЖНОЙ РОЛИК РЕМНЯ ГРМ,2014-02-15 00:26:13.55092,2015-01-17 21:14:29.489618,,,,800
3642,ОБМОТКА СТАРТЕРА,2014-02-15 00:26:13.55296,2015-01-17 21:14:29.473143,,,,212
3643,ОБШИВКА БАГАЖНИКА,2014-02-15 00:26:13.554916,2015-01-17 21:14:29.456418,"","",,3069
3644,ОБШИВКА ДВЕРИ,2014-02-15 00:26:13.557049,2015-01-17 21:14:29.439937,,,,18059
3645,ОБШИВКА КРЫШИ,2014-02-15 00:26:13.566306,2015-01-17 21:14:29.423036,,,,780
3646,ОГРАНИЧИТЕЛЬ ДВЕРИ,2014-02-15 00:26:13.568401,2015-01-17 21:14:29.406394,,,,3857
3647,ОПОРА АМОРТИЗАТОРА,2014-02-15 00:26:13.570477,2015-01-17 21:14:29.389725,"","",,2507
3648,"ОПОРА АМОРТИЗАТОРА, КОМПЛЕКТ",2014-02-15 00:26:13.57252,2014-02-15 00:26:13.57252,,,,
3649,ОПОРА КАРДАННОГО ВАЛА,2014-02-15 00:26:13.574658,2015-01-17 21:14:29.372683,,,,330
3650,ОПОРА КПП,2014-02-15 00:26:13.576657,2015-01-17 21:14:29.352711,"","",,902
3651,ОПОРА ПРУЖИНЫ,2014-02-15 00:26:13.578651,2015-01-17 21:14:28.265874,,,,303
3652,ОПОРА РАДИАТОРА,2014-02-15 00:26:13.580703,2015-01-17 21:14:28.222712,,,,133
